journal	year	authors	title	language	wordcount	doctype	doi	citation_counts	S2titles	S2years	condition	matchstrength	S2journal	S2authors	new_cite_count
ELH	2001	['Catharine Gray']	Feeding on the Seed of the Woman: Dorothy Leigh and the Figure of Maternal Dissent	['eng']	13999	article | research-article	10.2307/30031983	0	Feeding on the Seed of the Woman: Dorothy Leigh and the Figure of Maternal Dissent	2001	found	1.12	ELH	C. Gray	8
The Modern Language Review	2000	['Catherine Rodgers']	Review Article	['eng']	1100	article | book-review	10.2307/3736426	40	Simone de Beauvoir : a critical reader		not citable	0.0	NA	NA	40
The Modern Language Review	1976	['D. J. Mossop']	"Mallarmé's ""Quelle soie..."" and ""M'introduire dans ton histoire"""	['eng']	5556	article | research-article	10.2307/3725951	1	"Mallarme's ""Quelle soie..."" and ""M'introduire dans ton histoire"""	1976-10-01	already found	0.0	NA	NA	1
The Review of English Studies	2009	['Noam Reisner']	Review Article	['eng']	1206	article | book-review	10.2307/40267580	0		no date	not citable	0.0	NA	NA	0
PMLA	1951	['John H. Fisher']	Serial Bibliographers in the Modern Languages and Literatures	['eng']	10452	article | research-article	10.2307/2699078	1	Serial Bibliographies in the Modern Languages and Literatures	1951-04-01	already found	0.0	NA	NA	1
PMLA	1952	['Joseph J. Kwiat']	"Dreiser's the ""Genius"" and Everett Shinn, the ""Ash-Can"" Painter"	['eng']	8340	article | research-article	10.2307/460084	5	Dreiser's The “Genius” and Everett Shinn, the “Ash-Can” Painter	1952-03-01	already found	0.0	NA	NA	5
The Modern Language Review	2013	['Nicholas Hammond']	Review Article	['eng']	1005	article | book-review	10.5699/modelangrevi.108.1.0302	0		no date	not citable	0.0	NA	NA	0
PMLA	1987	['Britton J. Harwood']	Chaucer and the Silence of History: Situating the Canon's Yeoman's Tale	['eng']	11128	article | research-article	10.2307/462481	11	Chaucer and the Silence of History: Situating the Canon's Yeoman's Tale	1987-05-01	already found	0.0	NA	NA	11
PMLA	1963	['Jean Frantz Blackall']	The Sacred Fount as a Comedy of the Limited Observer	['eng']	8964	article | research-article	10.2307/461251	0	The Sacred Fount as a Comedy of the Limited Observer	1963	found	1.12	PMLA/Publications of the Modern Language Association of America	J. Blackall	0
ELH	1964	['Leonora Leet Brodwin']	Edward II: Marlowe's Culminating Treatment of Love	['eng']	7116	article | research-article	10.2307/2872157	5	Edward II: Marlowe's Culminating Treatment of Love	1964-06-01	already found	0.0	NA	NA	5
The Review of English Studies	1929	['Margaret Ashdown']	Notes on Two Passages of Old English Verse	['eng']	1440	article | research-article	10.2307/507736	0	NOTES ON TWO PASSAGES OF OLD ENGLISH VERSE	1929	found	1.12	The Review of English Studies	M. Ashdown	0
The Modern Language Review	1958	['D. F. S. Scott']	Review Article	['eng']	1257	article | book-review	10.2307/3718232	0	Gedichte Goethes veranschaulicht nach Form- und Strukturwandel	1958-04-01	not citable	0.0	NA	NA	0
PMLA	1940	['Theodore H. Banks']	The Banquet Scene in Paradise Regained	['eng']	1624	article | research-article	10.2307/458738	1	The Banquet Scene in Paradise Regained	1940-09-01	already found	0.0	NA	NA	1
The Modern Language Review	2001	['Ian Johnson']	Review Article	['eng']	1162	article | book-review	10.2307/3737357	2	Nicholas Love at Waseda: Proceedings of the International Conference 20-22 July 1995 (review)	2001-04-01	not citable	0.0	NA	NA	2
The Modern Language Review	2016	['Shane Weller']	Performing the Negative: Kafka and the Origins of Late Modernism	['eng']	10299	article | research-article	10.5699/modelangrevi.111.3.0775	3	Performing the Negative: Kafka and the Origins of Late Modernism	2016-07-01	already found	0.0	NA	NA	3
The Modern Language Review	2013	['Emma Herdman']	Review Article	['eng']	990	article | book-review	10.5699/modelangrevi.108.3.0947	0		no date	not citable	0.0	NA	NA	0
PMLA	1958	['anonymous']	Annual Meetings and Membership	['eng']	673	article | misc	10.2307/2699442	0		no date	not citable	0.0	NA	NA	0
New Literary History	1998	['anonymous']	Back Matter	['eng']	199	article | misc	10.2307/20057497	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1964	['John Buxton']	A Note on Paradise Lost, X. 71-79	['eng']	448	article | research-article	10.2307/513314	0	A NOTE ON PARADISE LOST, X. 71–79	1964	found	0.9696969696969698	no journal listed	J. Buxton	0
Modern Philology	1953	['Carl Selmer']	Review Article	['eng']	487	article | book-review	10.2307/434837	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2012	['Stephen Forcer']	Review Article	['eng']	1561	article | book-review	10.5699/modelangrevi.107.4.1232	0	Review of Effie Rentzou, Littérature malgré elle: le surréalisme et la transformation du littéraire (Paris: Pleine Marge, 2010), 358 pp.	2012-10-01	not citable	0.0	NA	NA	0
The Review of English Studies	1988	['Hilary Pyle']	Review Article	['eng']	1229	article | book-review	10.2307/516687	0		no date	not citable	0.0	NA	NA	0
PMLA	1993	['Jacques Derrida', 'Pascale-Anne Brault', 'Michael B. Naas']	The Other Heading: Memories, Responses, and Responsibilities	['eng']	3175	article | research-article	10.2307/462854	23	The Other Heading: Memories, Responses, and Responsibilities	1993-01-01	already found	0.0	NA	NA	23
The Modern Language Review	1915	['anonymous']	Correction	['eng']	469	article | misc	10.2307/3712640	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1976	['A. J. Sambrook']	Review Article	['eng']	2000	article | book-review	10.2307/3725972	19	Romantic Landscape Vision: Constable and Wordsworth	1975-04-01	not citable	0.0	NA	NA	19
PMLA	1994	['Crystal Downing', 'Frances E. Dolan']	Face Painting in Early Modern England	['eng']	1414	article | research-article	10.2307/463017	0	Face Painting in Early Modern England	1994	found	1.07	PMLA/Publications of the Modern Language Association of America	C. Downing	0
The Modern Language Review	2008	['Kathleen L. Komar']	Review Article	['eng']	538	article | book-review	10.2307/20467873	4	Images of Absence: Death and the Language of Concealment in the Poetry of Rainer Maria Rilke by Marielle Sutherland (review)	2008-04-01	not citable	0.0	NA	NA	4
The Review of English Studies	1996	['Marcus Walsh']	Review Article	['eng']	739	article | book-review	10.2307/518408	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1993	['Rikky Rooksby']	Swinburne's 'Boo' Rides Again	['eng']	2902	article | research-article	10.2307/518444	0	SWINBURNE'S ‘BOO’ RIDES AGAIN	1993	found	0.9310344827586207	no journal listed	R. Rooksby	0
Modern Philology	1972	['Steven May']	"Spenser's ""Amyntas"": Three Poems by Ferdinando Stanley, Lord Strange, Fifth Earl of Derby"	['eng']	2546	article | research-article	10.2307/436504	0	"Spenser's ""Amyntas"": Three Poems by Ferdinando Stanley, Lord Strange, Fifth Earl of Derby"	1972	found	1.12	Modern Philology	Steven W. May	2
ELH	1981	['Arthur Kirsch']	Hamlet's Grief	['eng']	8692	article | research-article	10.2307/2873010	7	Hamlet's Grief	1981-01-21	already found	0.0	NA	NA	7
The Review of English Studies	1979	['R. V. Holdsworth']	Review Article	['eng']	2114	article | book-review	10.2307/514402	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1957	['Elizabeth Barineau']	Review Article	['eng']	1570	article | book-review	10.2307/434737	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1994	['Peggy A. Knapp']	Review Article	['eng']	1295	article | book-review	10.2307/438226	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1956	['M. Dominica Legge']	Archaism and the Conquest	['eng']	1856	article | research-article	10.2307/3718446	0	Archaism and the Conquest	1956	found	1.0	Modern Language Review	M. D. Legge	0
PMLA	1924	['Austin K. Gray']	The Secret of Love's Labour's Lost	['eng']	13089	article | research-article	10.2307/457120	2	XXV. The Secret of Love's Labour's Lost	1924-09-01	already found	0.0	NA	NA	2
The Modern Language Review	1971	['Susan Powell']	Review Article	['eng']	1843	article | book-review	10.2307/3723231	0	Gottfried Keller (M 84)	1971-07-01	not citable	0.0	NA	NA	0
PMLA	1985	"[""Sharon K. O'Dair"", 'Lawrence Danson']"	The Social Self and Science	['eng']	2557	article | research-article	10.2307/462205	1	The Social Self and Science	1985-01-01	already found	0.0	NA	NA	1
The Review of English Studies	1950	['R. V. Osbourn']	The British Quarterly Review	['eng']	2447	article | research-article	10.2307/510615	0	THE BRITISH QUARTERLY REVIEW	1950	found	1.12	The Review of English Studies	R. V. Osbourn	8
The Modern Language Review	2004	['Guido Bonsaver']	Review Article	['eng']	843	article | book-review	10.2307/3738933	0	The fragments of 'impegno' : interpretations of commitment in contemporary Italian narrative, 1980-1995		not citable	0.0	NA	NA	0
PMLA	2016	['AMY K. LEVIN']	The Land without the Canon Wars: Language, Literature, and New Freedoms in Myanmar	['eng']	3160	article | research-article	10.2307/26158951	0	The Land without the Canon Wars: Language, Literature, and New Freedoms in Myanmar	2016	found	1.12	PMLA/Publications of the Modern Language Association of America	Amy K. Levin	0
The Modern Language Review	1973	['James Trainer']	Review Article	['eng']	616	article | book-review	10.2307/3726278	0	Die junge Bettine 1785-1811		not citable	0.0	NA	NA	0
Modern Philology	2000	['Jonathan Goldberg']	Review Article	['eng']	1803	article | book-review	10.2307/439071	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1992	['Patricia Coughlan']	Review Article	['eng']	1711	article | book-review	10.2307/518746	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1986	['Clyde de L. Ryals']	Review Article	['eng']	1977	article | book-review	10.2307/3729734	9	On the Poetry of Matthew Arnold: Essays in Critical Reconstruction		not citable	0.0	NA	NA	9
Critical Inquiry	1998	['anonymous']	Front Matter	['eng']	856	article | misc	10.2307/1344130	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1959	['Edward Wasiolek']	Croce and Contextualist Criticism	['eng']	7425	article | research-article	10.2307/435188	0	Croce and Contextualist Criticism	1959	found	1.12	Modern Philology	Edward Wasiolek	0
Critical Inquiry	1995	['anonymous']	Volume Information	['eng']	11059	article | misc	10.2307/1344061	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1976	['P. C. Bayley']	Review Article	['eng']	1950	article | book-review	10.2307/3725968	26	Play of Double Senses: Spenser’s Faerie Queen	1976-10-01	not citable	0.0	NA	NA	26
The Modern Language Review	2001	['David Williams']	Review Article	['eng']	1178	article | book-review	10.2307/3735762	0	Correspondance de Frédéric II avec Louise-Dorothée de Saxe-Gotha (1740-1767)		not citable	0.0	NA	NA	0
PMLA	1960	['Ralph Paul deGorog']	The Teaching of English in Finnish High Schools	['eng']	3788	article | research-article	10.2307/2699353	0	The Teaching of English in Finnish High Schools	1960	found	1.12	Pmla-publications of The Modern Language Association of America	R. P. Degorog	1
The Modern Language Review	1967	['W. H. Bruford']	Review Article	['eng']	1182	article | book-review	10.2307/3723148	0	Dichter, Tradition und Zeitgeist. Gesammelte Studien zur Literaturgeschichte	1967-05-01	not citable	0.0	NA	NA	0
The Modern Language Review	1938	['William Rose']	Review Article	['eng']	471	article | book-review	10.2307/3715721	17	The sources of the Faust tradition : from Simon Magus to Lessing	1937-03-01	not citable	0.0	NA	NA	17
The Modern Language Review	1990	['Peter Collier']	Review Article	['eng']	1794	article | book-review	10.2307/3732258	13	Baudelaire in 1859: A Study in the Sources of Poetic Creativity	1988-07-29	not citable	0.0	NA	NA	13
Modern Philology	1992	['John Richetti']	Review Article	['eng']	2611	article | book-review	10.2307/438093	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1933	['Dorothy Everett']	Review Article	['eng']	1123	article | book-review	10.2307/508811	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1978	['F. W. Hodcroft']	Review Article	['eng']	2558	article | book-review	10.2307/3728197	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	2001	['Paul Schlicke']	Review Article	['eng']	1823	article | book-review	10.2307/3070506	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2016	['Patricia M. E. Lorcin']	Review Article	['eng']	970	article | book-review	10.5699/modelangrevi.111.2.0553	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1992	['Nicola Bradbury']	Review Article	['eng']	1868	article | book-review	10.2307/3732347	64	Henry James and the 'Woman Business'	1989-09-29	not citable	0.0	NA	NA	64
The Modern Language Review	2018	['Marie Kolkenbrock']	Gothic Infections: Arthur Schnitzler and the Haunted Culture of Modernism	['eng']	10329	article | research-article	10.5699/modelangrevi.113.1.0147	0	Gothic Infections: Arthur Schnitzler and the Haunted Culture of Modernism	2018	found	1.0	Modern Language Review	M. Kolkenbrock	2
Modern Philology	2005	['Andrew\xa0S. Rabin']	Review Article	['eng']	1780	article | book-review	10.1086/506537	1	The Footsteps of Israel: Understanding Jews in Anglo‐Saxon England. Andrew P. Scheil. Ann Arbor: University of Michigan Press. Pp. xii+372.	2005-11-01	not citable	0.0	NA	NA	1
The Modern Language Review	1964	['Marjorie Thompson']	Review Article	['eng']	1174	article | book-review	10.2307/3720640	37	The Letters of Wyndham Lewis	2021-09-17	not citable	0.0	NA	NA	37
The Review of English Studies	2015	['SHANNON KELLEY']	Review Article	['eng']	1040	article | book-review	10.2307/24541241	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	2016	['MATTHEW SUSSMAN']	Review Article	['eng']	991	article | book-review	10.2307/44505642	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1917	['Aubrey F. G. Bell']	Gonçalo Rodriguez, Archdeacon of Toro	['eng']	1186	article | research-article	10.2307/3714106	0	Goncalo Rodriguez, Archdeacon of Toro	1917-07-01	no strong match	0.0	NA	NA	0
The Modern Language Review	1973	['Frank M. Fowler']	"Sight and Insight in Schiller's ""Die Jungfrau von Orleans"""	['eng']	7941	article | research-article	10.2307/3725866	14	"Sight and Insight in Schiller's ""Die Jungfrau von Orleans"""	1973-04-01	already found	0.0	NA	NA	14
The Modern Language Review	2005	['Simon Gilson']	Review Article	['eng']	738	article | book-review	10.2307/3738107	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1907	['Raymond Weeks']	Review Article	['eng']	1700	article | book-review	10.2307/3712896	7	Table des noms propres de toute nature compris dans les chansons de geste imprimées	1907-10-01	not citable	0.0	NA	NA	7
PMLA	1941	['Stewart Walker Holmes']	Browning's Sordello and Jung: Browning's Sordello in the Light of Jung's Theory of Types	['eng']	17069	article | research-article	10.2307/458993	3	Browning's Sordello and Jung: Browning's Sordello in the Light of Jung's Theory of Types	1941-09-01	already found	0.0	NA	NA	3
The Review of English Studies	1975	['Norman Davis']	Review Article	['eng']	2940	article | book-review	10.2307/515128	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2000	['Paul Davies']	Review Article	['eng']	1270	article | book-review	10.2307/3736644	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1999	['Elsie B. Michie']	Review Article	['eng']	1230	article | book-review	10.2307/439208	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1995	['Juan Antonio Masoliver']	Review Article	['eng']	1978	article | book-review	10.2307/3733125	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1968	['Newell F. Ford']	Review Article	['eng']	2570	article | book-review	10.2307/435812	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2003	['Pamela Allen Brown']	Review Article	['eng']	667	article | book-review	10.2307/3738197	3	Sexual Shakespeare: Forgery, Authorship, Portraiture		not citable	0.0	NA	NA	3
ELH	1958	['Francis Lee Utley']	The Infernos of Lucretius and of Keats's La Belle Dame Sans Merci	['eng']	7068	article | research-article	10.2307/2872032	6	The Infernos of Lucretius and of Keats's La Belle Dame Sans Merci	1958-06-01	already found	0.0	NA	NA	6
The Modern Language Review	1939	['Ian A. Gordon']	Review Article	['eng']	506	article | book-review	10.2307/3717707	2	The connection between The ballade, Chaucer's modification of it, Rime royal, and the Spenserian stanza	1939-07-01	not citable	0.0	NA	NA	2
The Modern Language Review	1980	['David Bellos']	Review Article	['eng']	1269	article | book-review	10.2307/3727899	57	What is literature		not citable	0.0	NA	NA	57
The Modern Language Review	1975	['D. D. R. Owen']	Review Article	['eng']	1274	article | book-review	10.2307/3724315	2	"Structural arithmetic metaphor in the Oxford ""Roland."""		not citable	0.0	NA	NA	2
The Review of English Studies	1954	['H. M. Margoliouth']	Review Article	['eng']	269	article | book-review	10.2307/511359	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1987	['Anthony Brian Taylor']	Two Notes on Shakespeare and the Translators	['eng']	1656	article | research-article	10.2307/515883	0	TWO NOTES ON SHAKESPEARE AND THE TRANSLATORS	1987	found	1.12	The Review of English Studies	A. B. Taylor	0
The Modern Language Review	1964	['Elizabeth M. Brennan']	Review Article	['eng']	1232	article | book-review	10.2307/3721055	12	The life and adventures of Thomas Coryate	1964-10-01	not citable	0.0	NA	NA	12
The Review of English Studies	1995	['Robert Crawford']	Review Article	['eng']	677	article | book-review	10.2307/519048	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1961	['W. Witte']	Review Article	['eng']	1192	article | book-review	10.2307/3721957	0	Schiller. Die Tragodie der Freiheit@@@Friedrich Schiller. Ausgewahlte Briefe	1961-04-01	not citable	0.0	NA	NA	0
ELH	2003	['John Freeman']	"Raphael's ""Backward Reform"": ""Agent Provocateur or Agent Proclamateur?"""	['eng']	7743	article | research-article	10.2307/30029883	0	"Raphael's ""Backward Reform"": Agent provocateur or Agent proclamateur ?"	2003	found	1.1	ELH	J. Freeman	1
The Modern Language Review	1966	['Anthony R. Pugh']	Review Article	['eng']	1348	article | book-review	10.2307/3724085	2	Les Voix Narratives dans la Recherche du Temps perdu@@@Historique du premier roman de Proust	1966-10-01	not citable	0.0	NA	NA	2
The Modern Language Review	2001	['David Marsh']	Review Article	['eng']	1237	article | book-review	10.2307/3737431	1	'De Antiquissima Italorum Sapientia' di Giambattista Vico. Indici e ristampa anastatica (review)	2001-04-01	not citable	0.0	NA	NA	1
The Review of English Studies	1959	['anonymous']	Back Matter	['eng']	341	article | misc	10.2307/510497	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1960	['C. L. Wrenn']	Review Article	['eng']	1784	article | book-review	10.2307/510713	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1936	['Einar Haugen']	Review Article	['eng']	953	article | book-review	10.2307/434070	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1946	['Irwin Griggs', 'John D. Kern', 'Elisabeth Schneider']	"Early ""Edinburgh"" Reviewers: A New List"	['eng']	11161	article | research-article	10.2307/434707	0	"Early ""Edinburgh"" Reviewers: A New List"	1946	found	1.12	Modern Philology	Irwin Griggs : J. D. Kern : E. Schneider	2
The Modern Language Review	2013	['Jonathan David Bradbury']	Review Article	['eng']	1513	article | book-review	10.5699/modelangrevi.108.2.0651	0		no date	not citable	0.0	NA	NA	0
PMLA	1924	['Claude L. Finney']	Drayton's Endimion and Phœbe and Keats's Endymion	['eng']	3061	article | research-article	10.2307/457249	3	Drayton's Endimion and Phœbe and Keats's Endymion	1924-12-01	already found	0.0	NA	NA	3
New Literary History	1985	['Paolo Valesio', 'Marilyn Migiel']	Declensions: D'Annunzio after the Sublime	['eng']	6958	article | research-article	10.2307/468753	1	Declensions: D'Annunzio after the Sublime	1985-01-24	already found	0.0	NA	NA	1
Modern Philology	2013	['Diane G. Scholl']	Secret Paternity in James’s <em>The Aspern Papers</em>: Whose Letters?	['eng']	6939	article | research-article	10.1086/671810	2	Secret Paternity in James’s The Aspern Papers: Whose Letters?	2013-08-01	already found	0.0	NA	NA	2
The Modern Language Review	2000	['W. L. Hodson']	Review Article	['eng']	615	article | book-review	10.2307/3736430	2	The Crommelynck Mystery: The Life and Work of a Belgian Playwright		not citable	0.0	NA	NA	2
PMLA	1958	['Chester G. Anderson']	"James Joyce's ""Tilly"""	['eng']	12459	article | research-article	10.2307/460246	1	James Joyce's “Tilly”	1958-06-01	already found	0.0	NA	NA	1
The Modern Language Review	2006	['David Barnett']	Review Article	['eng']	827	article | book-review	10.2307/20466987	0		no date	not citable	0.0	NA	NA	0
PMLA	1917	['Willard Edward Farnham']	The Sources of Chaucer's Parlement of Foules	['eng']	9801	article | research-article	10.2307/457025	0	XIX.—The Sources of Chaucer's Parlement of Foules	2010	found	0.9462365591397851	PMLA/Publications of the Modern Language Association of America	W. Farnham	1
The Modern Language Review	2003	['Leonard Olschner']	Review Article	['eng']	1640	article | book-review	10.2307/3738260	5	Zur Poetik Paul Celans: Gedicht und Mensch: die Arbeit am Sinn@@@Selected Poems and Prose of Paul Celan		not citable	0.0	NA	NA	5
The Modern Language Review	1990	['Trevor Peach']	Review Article	['eng']	1244	article | book-review	10.2307/3732697	1	Ulenspiegel, de sa vie de ses oeuvres: édition critique du plus ancien Ulespiègle français du XVIe siècle	1990-10-01	not citable	0.0	NA	NA	1
The Review of English Studies	1981	['anonymous']	Back Matter	['eng']	155	article | misc	10.2307/514165	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1955	['anonymous']	Front Matter	['eng']	635	article | misc	10.2307/3718750	0		no date	not citable	0.0	NA	NA	0
Modern Philology	2001	['Trevor Ross']	Review Article	['eng']	1533	article | book-review	10.2307/438860	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1997	['Keith Cameron']	Review Article	['eng']	601	article | book-review	10.2307/3733427	0		no date	not citable	0.0	NA	NA	0
PMLA	1967	['Eugene R. August']	"The Growth of ""The Windhover"""	['eng']	3430	article | research-article	10.2307/460776	4	The Growth of “The Windhover”	1967-10-01	already found	0.0	NA	NA	4
ELH	1984	['Marcia Ian']	The Elaboration of Privacy in The Wings of the Dove	['eng']	13147	article | research-article	10.2307/2872807	11	The Elaboration of Privacy in The Wings of the Dove	1984-01-21	already found	0.0	NA	NA	11
The Modern Language Review	1946	['Beatrice White']	Review Article	['eng']	1950	article | book-review	10.2307/3716740	27	English literature at the close of the Middle Ages		not citable	0.0	NA	NA	27
PMLA	1959	['Howard M. Munford']	The Disciple Proves Independent: Howells and Lowell	['eng']	2768	article | research-article	10.2307/460458	0	The Disciple Proves Independent: Howells and Lowell	1959	found	1.12	PMLA/Publications of the Modern Language Association of America	Howard M. Munford	0
The Review of English Studies	1953	['M. L. Samuels']	Review Article	['eng']	957	article | book-review	10.2307/510405	0		no date	not citable	0.0	NA	NA	0
PMLA	2001	['Roger Shattuck', 'Edward W. Said']	Globalizing Literary Study	['eng']	1506	article | research-article	10.2307/463506	0	Globalizing Literary Study	2001	found	1.07	PMLA/Publications of the Modern Language Association of America	E. Said	28
The Modern Language Review	1995	['William Hanson']	Review Article	['eng']	1276	article | book-review	10.2307/3734397	12	Werther's Goethe and the Game of Literary Creativity	1995-07-01	not citable	0.0	NA	NA	12
The Modern Language Review	1961	['Patricia Thomson']	Review Article	['eng']	586	article | book-review	10.2307/3721706	7	An Elizabethan Sonnet Problem. Shakespeare's Sonnets, Daniel's Delia and Their Literary Background		not citable	0.0	NA	NA	7
The Review of English Studies	2008	['Martin Wiggins']	"When Did Marlowe Write ""Dido, Queen of Carthage?"""	['eng']	11169	article | research-article	10.2307/20184730	0	When did Marlowe Write Dido, Queen of Carthage?	2007	found	1.0791666666666666	The Review of English Studies	M. Wiggins	13
The Review of English Studies	2001	['Deirdre Le Faye']	Lord Brabourne's Edition of Jane Austen's Letters	['eng']	6039	article | research-article	10.2307/3070492	0	Lord Brabourne's edition of Jane Austen's letters	2001	found	1.12	The Review of English Studies	D. L. Faye	0
PMLA	1973	['Erica Harth']	Exorcising the Beast: Attempts at Rationality in French Classicism	['eng']	4705	article | research-article	10.2307/461321	3	Exorcising the Beast: Attempts at Rationality in French Classicism	1973-01-01	already found	0.0	NA	NA	3
PMLA	1961	['E. Arthur Robinson']	"Order and Sentience in ""The Fall of the House of Usher"""	['eng']	11531	article | research-article	10.2307/460316	19	Order and Sentience in “The Fall of the House of Usher”	1961-03-01	already found	0.0	NA	NA	19
The Review of English Studies	1984	['R. S. White']	Metamorphosis by Love in Elizabethan Romance, Romantic Comedy, and Shakespeare's Early Comedies	['eng']	12976	article | research-article	10.2307/516810	0	METAMORPHOSIS BY LOVE IN ELIZABETHAN ROMANCE, ROMANTIC COMEDY, AND SHAKESPEARE'S EARLY COMEDIES	1984	found	1.12	The Review of English Studies	R. S. White	6
The Modern Language Review	2003	['Mark Knight']	Review Article	['eng']	690	article | book-review	10.2307/3738316	2	Novel Theology: Nikos Kazantzakis's Encounter with Whiteheadian Process Theism	2000-12-01	not citable	0.0	NA	NA	2
The Modern Language Review	1976	['John England']	"""Dixo Rachel e Vidas"": Subject-Verb Agreement in Old Spanish"	['eng']	7037	article | research-article	10.2307/3725954	5	"""Dixo Rachel e Vidas"": Subject-Verb Agreement in Old Spanish"	1976-10-01	already found	0.0	NA	NA	5
The Review of English Studies	1992	['N. W. Bawcutt']	Review Article	['eng']	692	article | book-review	10.2307/518063	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1976	['Hermann Pálsson']	Review Article	['eng']	440	article | book-review	10.2307/3726032	31	A History of the Old Icelandic Commonwealth: Islendinga Saga	2007-01-15	not citable	0.0	NA	NA	31
PMLA	1953	['Hermann J. Weigand']	Hermann Broch's Die Schuldlosen: An Approach	['eng']	5487	article | research-article	10.2307/459856	6	Hermann Broch's Die Schuldlosen: An Approach	1953-06-01	already found	0.0	NA	NA	6
The Modern Language Review	1972	['G. D. Klingopulos']	Review Article	['eng']	1237	article | book-review	10.2307/3722394	0	I. A. Richards's Theory of Literature		not citable	0.0	NA	NA	0
The Modern Language Review	1977	['C. P. Magill']	Review Article	['eng']	1262	article | book-review	10.2307/3724763	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	2013	['ALISON LUMSDEN']	Review Article	['eng']	1239	article | book-review	10.2307/42003645	0		no date	not citable	0.0	NA	NA	0
PMLA	1925	['Walter Graham']	Shelley and the Empire of the Nairs	['eng']	4315	article | research-article	10.2307/457528	5	Shelley and the Empire of the Nairs	1925-12-01	already found	0.0	NA	NA	5
Modern Philology	2011	['Anne Cotterill']	<em>Christopher D'Addario,</em> Exile and Journey in Seventeenth-Century Literature	['eng']	1470	article | book-review	10.1086/660751	0	Christopher D'Addario, Exile and Journey in Seventeenth-Century Literature	2011-08-01	no strong match	0.0	NA	NA	0
The Modern Language Review	1999	['Michael Glencross']	Review Article	['eng']	1192	article | book-review	10.2307/3737047	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2002	['Isabel Torres']	Review Article	['eng']	1842	article | book-review	10.2307/3736942	0		no date	not citable	0.0	NA	NA	0
ELH	1982	['Michael E. Mooney']	Presocratic Scepticism: Samuel Beckett's Murphy Reconsidered	['eng']	9122	article | research-article	10.2307/2872889	8	PRESOCRATIC SCEPTICISM: SAMUEL BECKETT'S MURPHY RECONSIDERED	1982-01-21	already found	0.0	NA	NA	8
The Review of English Studies	1991	['S. J. Ogilvie-Thomson']	Review Article	['eng']	751	article | book-review	10.2307/518789	0		no date	not citable	0.0	NA	NA	0
Modern Philology	2014	['Leah Orr']	<em>Scott R. MacKenzie</em> Be It Ever So Humble: Poverty, Fiction, and the Invention of the Middle-Class Home	['eng']	1385	article | book-review	10.1086/677192	0	Scott R. MacKenzie Be It Ever So Humble: Poverty, Fiction, and the Invention of the Middle-Class Home	2014	found	0.94	Modern Philology	Leah Orr	0
Modern Philology	2013	['Matthew Wickman']	<em>Thomas M. Curley</em>, Samuel Johnson, the Ossian Fraud, and the Celtic Revival in Great Britain and Ireland	['eng']	2007	article | book-review	10.1086/669967	0	Thomas M. Curley, Samuel Johnson, the Ossian Fraud, and the Celtic Revival in Great Britain and Ireland	2013	found	0.94	Modern Philology	M. Wickman	0
The Review of English Studies	2009	['Kate Flint']	Review Article	['eng']	1226	article | book-review	10.2307/40267586	0		no date	not citable	0.0	NA	NA	0
Modern Philology	2001	['Andrew Wachtel']	Review Article	['eng']	1174	article | book-review	10.2307/438872	0		no date	not citable	0.0	NA	NA	0
