author,data
['William A. Stowell'],Result for ['William A. Stowell']
['Lisa H. Cooper'],Result for ['Lisa H. Cooper']
 esther shephard,Result for  esther shephard
 john c mclucas,Result for  john c mclucas
['Anton Vander Zee'],Result for ['Anton Vander Zee']
 ihr ergebener,Result for  ihr ergebener
['R. H. Nicholson'],Result for ['R. H. Nicholson']
['Meg Tait'],Result for ['Meg Tait']
 t e,Result for  t e
['Jill Jarvis'],Result for ['Jill Jarvis']
['Stuart Culver'],Result for ['Stuart Culver']
['Magdalena Sumera'],Result for ['Magdalena Sumera']
['David Golumbia'],Result for ['David Golumbia']
['Sherman Eoff'],Result for ['Sherman Eoff']
['GREG BARNHISEL'],Result for ['GREG BARNHISEL']
['G. E. Aylmer'],Result for ['G. E. Aylmer']
 margot backus,Result for  margot backus
['Edgar M. Branch'],Result for ['Edgar M. Branch']
['Frank D. Curtin'],Result for ['Frank D. Curtin']
['Paul O. Williams'],Result for ['Paul O. Williams']
['Edward Costigan'],Result for ['Edward Costigan']
['Lisa Shaw'],Result for ['Lisa Shaw']
['Theodore Andersson'],Result for ['Theodore Andersson']
['Fiona J. Stafford'],Result for ['Fiona J. Stafford']
['Colin H. Williams'],Result for ['Colin H. Williams']
['Sydney Lea'],Result for ['Sydney Lea']
['Gösta Franzén'],Result for ['Gösta Franzén']
['A. O. Aldridge'],Result for ['A. O. Aldridge']
['Robert P. Adams'],Result for ['Robert P. Adams']
['Anne L. Clark'],Result for ['Anne L. Clark']
['Timothy Clark'],Result for ['Timothy Clark']
['Jennifer L. Geddes'],Result for ['Jennifer L. Geddes']
['Mark C. Taylor'],Result for ['Mark C. Taylor']
 malcolm k read,Result for  malcolm k read
['H. M. Belden'],Result for ['H. M. Belden']
['Frank Shon'],Result for ['Frank Shon']
['Tamzin Simmons'],Result for ['Tamzin Simmons']
['Peter Rickard'],Result for ['Peter Rickard']
 joseph wiesenfarth,Result for  joseph wiesenfarth
['Elisabeth Dutton'],Result for ['Elisabeth Dutton']
['E. N. Gummer'],Result for ['E. N. Gummer']
['Barry Murnane'],Result for ['Barry Murnane']
['Denise L. Despres'],Result for ['Denise L. Despres']
['CÓILÍN PARSONS'],Result for ['CÓILÍN PARSONS']
['Edward H. Navakas'],Result for ['Edward H. Navakas']
['Leo Strauss'],Result for ['Leo Strauss']
['James H. Sims'],Result for ['James H. Sims']
['Lewis F. Mott'],Result for ['Lewis F. Mott']
['Terry R. Wright'],Result for ['Terry R. Wright']
['E. Margaret Phillips'],Result for ['E. Margaret Phillips']
['E. Zants'],Result for ['E. Zants']
['Alan Reynolds Thompson'],Result for ['Alan Reynolds Thompson']
['Bryan Lowrance'],Result for ['Bryan Lowrance']
['Byron R. Libhart'],Result for ['Byron R. Libhart']
['Rufus D. S. Putney'],Result for ['Rufus D. S. Putney']
['Stuart A. Ende'],Result for ['Stuart A. Ende']
['Mildred Gayler Christian'],Result for ['Mildred Gayler Christian']
['Catherine Dousteyssier-Khoze'],Result for ['Catherine Dousteyssier-Khoze']
['Cosetta Veronese'],Result for ['Cosetta Veronese']
 paul f proskauer,Result for  paul f proskauer
['E. T. Griffiths'],Result for ['E. T. Griffiths']
['Jerome A. Ramsey'],Result for ['Jerome A. Ramsey']
['J. H. F.'],Result for ['J. H. F.']
['William Spindler'],Result for ['William Spindler']
['W. B. Lockwood'],Result for ['W. B. Lockwood']
['Bill Marshall'],Result for ['Bill Marshall']
['Karen Shabetai'],Result for ['Karen Shabetai']
['J. A. Cremona'],Result for ['J. A. Cremona']
 e m b,Result for  e m b
['Melissa Furrow'],Result for ['Melissa Furrow']
['Chistopher Smith'],Result for ['Chistopher Smith']
 f l arnold,Result for  f l arnold
 nancy j vickers,Result for  nancy j vickers
['Anastasia Eccles'],Result for ['Anastasia Eccles']
['Edward Vasta'],Result for ['Edward Vasta']
 jan van heurck,Result for  jan van heurck
['Melba Cuddy-Keane'],Result for ['Melba Cuddy-Keane']
['C. H. Wilkinson'],Result for ['C. H. Wilkinson']
['Eric Southworth'],Result for ['Eric Southworth']
['Chloe Steel'],Result for ['Chloe Steel']
['Otto Clemen'],Result for ['Otto Clemen']
['Matthew Pincombe'],Result for ['Matthew Pincombe']
['Teodolinda Barolini'],Result for ['Teodolinda Barolini']
['Curt S. Gutkind'],Result for ['Curt S. Gutkind']
['Samuel E. Schulman'],Result for ['Samuel E. Schulman']
['Martha Westwater'],Result for ['Martha Westwater']
['MATTHEW BEAUMONT'],Result for ['MATTHEW BEAUMONT']
['W. Hutchings'],Result for ['W. Hutchings']
['John M. Major'],Result for ['John M. Major']
['Alfred W. Pollard'],Result for ['Alfred W. Pollard']
['Garry L. Hagberg'],Result for ['Garry L. Hagberg']
['Carolyn Dever'],Result for ['Carolyn Dever']
['Martin Willis'],Result for ['Martin Willis']
['Philip Metres'],Result for ['Philip Metres']
['Douglas Kelly'],Result for ['Douglas Kelly']
['Séverine Genieys-Kirk'],Result for ['Séverine Genieys-Kirk']
['Kathy Shaughnessy Jambeck'],Result for ['Kathy Shaughnessy Jambeck']
['David William Charnick'],Result for ['David William Charnick']
 e g r waters,Result for  e g r waters
['Liliane Papin'],Result for ['Liliane Papin']
['David Medalie'],Result for ['David Medalie']
['Jamey Hecht'],Result for ['Jamey Hecht']
['DAVID CARROLL SIMON'],Result for ['DAVID CARROLL SIMON']
['F. Marenco'],Result for ['F. Marenco']
['Denise Varney'],Result for ['Denise Varney']
['Sverre Arestad'],Result for ['Sverre Arestad']
['Stephen Regan'],Result for ['Stephen Regan']
['John Reidy'],Result for ['John Reidy']
['George Pope Shannon'],Result for ['George Pope Shannon']
['James Thorpe'],Result for ['James Thorpe']
['Bernadette Guthrie'],Result for ['Bernadette Guthrie']
 richard berk,Result for  richard berk
['Richard L. Kowalczyk'],Result for ['Richard L. Kowalczyk']
['Angela Escott'],Result for ['Angela Escott']
"[""Kevin O'Neill""]","Result for [""Kevin O'Neill""]"
['Eric Gidal'],Result for ['Eric Gidal']
['John Stachniewski'],Result for ['John Stachniewski']
['JUSTIN STEINBERG'],Result for ['JUSTIN STEINBERG']
['Paul Howard'],Result for ['Paul Howard']
['KYOKO TAKANASHI'],Result for ['KYOKO TAKANASHI']
['Jane Elliott'],Result for ['Jane Elliott']
['Manon Mathias'],Result for ['Manon Mathias']
['Keith Wilhite'],Result for ['Keith Wilhite']
['Marc Bensimon'],Result for ['Marc Bensimon']
['Peter Lamarque'],Result for ['Peter Lamarque']
['Elizabeth Heine'],Result for ['Elizabeth Heine']
['MAXIMILLIAN E. NOVAK'],Result for ['MAXIMILLIAN E. NOVAK']
['James J. Hodge'],Result for ['James J. Hodge']
 adrian johns,Result for  adrian johns
['Mario Trovato'],Result for ['Mario Trovato']
['Janice M. Stein'],Result for ['Janice M. Stein']
['Mellinger E. Henry'],Result for ['Mellinger E. Henry']
['R. D. Anderson'],Result for ['R. D. Anderson']
['Matthew Reilly'],Result for ['Matthew Reilly']
 anne eckman,Result for  anne eckman
['Allen W. Porterfield'],Result for ['Allen W. Porterfield']
['Philip C. Ritterbush'],Result for ['Philip C. Ritterbush']
['Bruce Erlich'],Result for ['Bruce Erlich']
['T. H. Bowyer'],Result for ['T. H. Bowyer']
['Sarah Wood'],Result for ['Sarah Wood']
['Mairi Macdonald'],Result for ['Mairi Macdonald']
['Felix Wittmer'],Result for ['Felix Wittmer']
['Michael Warner'],Result for ['Michael Warner']
['Anthony Anemone'],Result for ['Anthony Anemone']
['MATTHEW STEGGLE'],Result for ['MATTHEW STEGGLE']
 douglas hewitt,Result for  douglas hewitt
['Albert D. Menut'],Result for ['Albert D. Menut']
['J. D. A. Ogilvy'],Result for ['J. D. A. Ogilvy']
['Francis Cornish'],Result for ['Francis Cornish']
['JESSE MOLESWORTH'],Result for ['JESSE MOLESWORTH']
['Francis Andrew March'],Result for ['Francis Andrew March']
['C. J. McDonough'],Result for ['C. J. McDonough']
 rosalind morris,Result for  rosalind morris
['John\xa0K. Hale'],Result for ['John\xa0K. Hale']
['Arthur Rollins Graves'],Result for ['Arthur Rollins Graves']
['Edward Smith Parsons'],Result for ['Edward Smith Parsons']
['Logan Speirs'],Result for ['Logan Speirs']
['John G. Sweeney III'],Result for ['John G. Sweeney III']
['T. Navarro Tomás'],Result for ['T. Navarro Tomás']
['Alexander Nemerov'],Result for ['Alexander Nemerov']
['Irit Ruth Kleiman'],Result for ['Irit Ruth Kleiman']
['Cesáreo Bandera'],Result for ['Cesáreo Bandera']
['Robert Denham'],Result for ['Robert Denham']
['Ian Storey'],Result for ['Ian Storey']
['Leonora Cohen Rosenfield'],Result for ['Leonora Cohen Rosenfield']
['Ben Parsons'],Result for ['Ben Parsons']
['ADAM GRENER'],Result for ['ADAM GRENER']
 sally shafto,Result for  sally shafto
['Stephen A. Black'],Result for ['Stephen A. Black']
 an anonymous contributor,Result for  an anonymous contributor
['PATRICK LONERGAN'],Result for ['PATRICK LONERGAN']
['Wendy Larson'],Result for ['Wendy Larson']
['GRAHAM WILLIAMS'],Result for ['GRAHAM WILLIAMS']
['Ewa Stańczyk'],Result for ['Ewa Stańczyk']
['Robert A. Kantra'],Result for ['Robert A. Kantra']
['CLIFF MAK'],Result for ['CLIFF MAK']
['A. Margaret Arent'],Result for ['A. Margaret Arent']
['Joanna Levin'],Result for ['Joanna Levin']
['Andrew W. Taylor'],Result for ['Andrew W. Taylor']
['JOHN T. CONNOR'],Result for ['JOHN T. CONNOR']
['Charlotte Beyer'],Result for ['Charlotte Beyer']
['Oliver de Selincourt'],Result for ['Oliver de Selincourt']
['Robert McGregor'],Result for ['Robert McGregor']
['JOSEPH REZEK'],Result for ['JOSEPH REZEK']
 pat rogers,Result for  pat rogers
['Helga Mitterbauer'],Result for ['Helga Mitterbauer']
['Edward Sapir'],Result for ['Edward Sapir']
 richard jean so,Result for  richard jean so
['A. E. Pilkington'],Result for ['A. E. Pilkington']
['Michiko Ogura'],Result for ['Michiko Ogura']
['William H. Clark'],Result for ['William H. Clark']
 rae blanchard,Result for  rae blanchard
['Karen Maxwell Merritt'],Result for ['Karen Maxwell Merritt']
['Sidra Dekoven Ezrahi'],Result for ['Sidra Dekoven Ezrahi']
['T. J. Cribb Churchill'],Result for ['T. J. Cribb Churchill']
['Edward A. Langhans'],Result for ['Edward A. Langhans']
['Joyce Coleman'],Result for ['Joyce Coleman']
['Penny Bradshaw'],Result for ['Penny Bradshaw']
"[""Jim O'Loughlin""]","Result for [""Jim O'Loughlin""]"
['C. Hentschel'],Result for ['C. Hentschel']
['J. P. R. Wallis'],Result for ['J. P. R. Wallis']
 john chapone,Result for  john chapone
['Joanne Paul'],Result for ['Joanne Paul']
['LEO MELLOR'],Result for ['LEO MELLOR']
['Amy S. Wyngaard'],Result for ['Amy S. Wyngaard']
['ROBERT L. MACK'],Result for ['ROBERT L. MACK']
['J. Seznec'],Result for ['J. Seznec']
 c a mayer,Result for  c a mayer
['Veronique Desnain'],Result for ['Veronique Desnain']
['Alan Holder'],Result for ['Alan Holder']
['Susan Winnett'],Result for ['Susan Winnett']
['Siobhan Phillips'],Result for ['Siobhan Phillips']
['Sheila Ottway'],Result for ['Sheila Ottway']
['W. A. Armstrong'],Result for ['W. A. Armstrong']
['PATRICK CHAPPELL'],Result for ['PATRICK CHAPPELL']
['Richard John Ascárate'],Result for ['Richard John Ascárate']
['François Jullien'],Result for ['François Jullien']
['Katherine MacDonald'],Result for ['Katherine MacDonald']
['M. Louise Salstad'],Result for ['M. Louise Salstad']
['BRENDA COOPER'],Result for ['BRENDA COOPER']
['Marion Owen'],Result for ['Marion Owen']
['Richard\xa0E. Goodkin'],Result for ['Richard\xa0E. Goodkin']
['Gretchen Ludke Finney'],Result for ['Gretchen Ludke Finney']
['Jaime Hovey'],Result for ['Jaime Hovey']
['Charlotte Steenbrugge'],Result for ['Charlotte Steenbrugge']
['Thomas R. Palfrey'],Result for ['Thomas R. Palfrey']
['Sharon L. Jansen'],Result for ['Sharon L. Jansen']
['Allen Feldman'],Result for ['Allen Feldman']
['Heinrich Straumann'],Result for ['Heinrich Straumann']
['GARRETT A. SULLIVAN JR.'],Result for ['GARRETT A. SULLIVAN JR.']
['Henrike Lähnemann'],Result for ['Henrike Lähnemann']
['Marta Peixoto'],Result for ['Marta Peixoto']
['Pam Morris'],Result for ['Pam Morris']
['Gananath Obeyesekere'],Result for ['Gananath Obeyesekere']
['Marketa Goetz Stankiewicz'],Result for ['Marketa Goetz Stankiewicz']
['Helen Barr'],Result for ['Helen Barr']
['Philip Larkin'],Result for ['Philip Larkin']
['Diane F. Urey'],Result for ['Diane F. Urey']
['Mary Caroline Spalding'],Result for ['Mary Caroline Spalding']
['Anne McWhir'],Result for ['Anne McWhir']
['Marilyn Johns Blackwell'],Result for ['Marilyn Johns Blackwell']
['Craig Patterson'],Result for ['Craig Patterson']
 sharon l snyder,Result for  sharon l snyder
['Claire Bryony Williams'],Result for ['Claire Bryony Williams']
['Chester N. Gould'],Result for ['Chester N. Gould']
['Ruth-E. Mohrmann'],Result for ['Ruth-E. Mohrmann']
"[""George H. R. O'Donnell""]","Result for [""George H. R. O'Donnell""]"
['J. T. Wisely'],Result for ['J. T. Wisely']
['M. P. Holt'],Result for ['M. P. Holt']
['Dean Tolle Mace'],Result for ['Dean Tolle Mace']
['Alma de L. Le Duc'],Result for ['Alma de L. Le Duc']
['Bernard Crampé'],Result for ['Bernard Crampé']
['David Cowart'],Result for ['David Cowart']
['J. L. Palmer'],Result for ['J. L. Palmer']
['Daniel Burston'],Result for ['Daniel Burston']
['Elizabeth Robertson'],Result for ['Elizabeth Robertson']
['I. Hilton'],Result for ['I. Hilton']
 george burke johnston,Result for  george burke johnston
['L. A. COLLINSON'],Result for ['L. A. COLLINSON']
['ANNE STILES'],Result for ['ANNE STILES']
['Lillian Feder'],Result for ['Lillian Feder']
['SIMON GIKANDI'],Result for ['SIMON GIKANDI']
['Ellen Crowell'],Result for ['Ellen Crowell']
 patrick malcomson,Result for  patrick malcomson
['M. R. James'],Result for ['M. R. James']
['Suzanne Romaine'],Result for ['Suzanne Romaine']
['George E. Dorris'],Result for ['George E. Dorris']
['Philip Gaskell'],Result for ['Philip Gaskell']
['ANDREW GALLOWAY'],Result for ['ANDREW GALLOWAY']
 rené vermeir,Result for  rené vermeir
['THOMAS KLEIN'],Result for ['THOMAS KLEIN']
['Judith Hawley'],Result for ['Judith Hawley']
['David L. Pike'],Result for ['David L. Pike']
['Lisle C. John'],Result for ['Lisle C. John']
['Laura\xa0L. Runge'],Result for ['Laura\xa0L. Runge']
['Susan Briggs'],Result for ['Susan Briggs']
 maurice l radoff,Result for  maurice l radoff
['Emily Steinlight'],Result for ['Emily Steinlight']
['William Bryan Gates'],Result for ['William Bryan Gates']
 jill m jarvis,Result for  jill m jarvis
['Marianne Constable'],Result for ['Marianne Constable']
['Michael Eskin'],Result for ['Michael Eskin']
['Don A. Monson'],Result for ['Don A. Monson']
['Manfred Durzak'],Result for ['Manfred Durzak']
 jeanne mcphee,Result for  jeanne mcphee
['B. W. Mazur'],Result for ['B. W. Mazur']
['Ruth Brown'],Result for ['Ruth Brown']
['Steve Light'],Result for ['Steve Light']
['Ernest Sutherland Bates'],Result for ['Ernest Sutherland Bates']
['Mary Hyde'],Result for ['Mary Hyde']
['Pamela Bacarisse'],Result for ['Pamela Bacarisse']
['Scott-Morgan Straker'],Result for ['Scott-Morgan Straker']
['Charlotte Baker'],Result for ['Charlotte Baker']
['HINA NAZAR'],Result for ['HINA NAZAR']
['W. L. Halstead'],Result for ['W. L. Halstead']
['Alastair MacDonald'],Result for ['Alastair MacDonald']
 a t,Result for  a t
['Christopher Braider'],Result for ['Christopher Braider']
['Ryan Singh Paul'],Result for ['Ryan Singh Paul']
['Andrei Rogachevskii'],Result for ['Andrei Rogachevskii']
['David McKeen'],Result for ['David McKeen']
['Marc D. Cyr'],Result for ['Marc D. Cyr']
['Norman Davies'],Result for ['Norman Davies']
['A. Stott'],Result for ['A. Stott']
['ASHTON NICHOLS'],Result for ['ASHTON NICHOLS']
['Karsten Engelberg'],Result for ['Karsten Engelberg']
['Paul F. Reichardt'],Result for ['Paul F. Reichardt']
['J. R. Wicke'],Result for ['J. R. Wicke']
['Eric Livingston'],Result for ['Eric Livingston']
 phillip maciak,Result for  phillip maciak
['Josef Rysan'],Result for ['Josef Rysan']
['Laura Barge'],Result for ['Laura Barge']
['Robin J. Sowards'],Result for ['Robin J. Sowards']
['Brian H. Finney'],Result for ['Brian H. Finney']
['Fredi Chiappelli'],Result for ['Fredi Chiappelli']
['David\xa0E. Wellbery'],Result for ['David\xa0E. Wellbery']
['JEREMY DAVIES'],Result for ['JEREMY DAVIES']
['Anja Tröger'],Result for ['Anja Tröger']
['Anne Stillman'],Result for ['Anne Stillman']
['Lawrence Jasud'],Result for ['Lawrence Jasud']
['RAPHAEL DALLEO'],Result for ['RAPHAEL DALLEO']
['FRIEDA EKOTTO'],Result for ['FRIEDA EKOTTO']
['A. E. Green'],Result for ['A. E. Green']
['Paul Douglass'],Result for ['Paul Douglass']
['MELISSA FEGAN'],Result for ['MELISSA FEGAN']
['Christopher Beach'],Result for ['Christopher Beach']
['Toni Bowers'],Result for ['Toni Bowers']
['Caroline D. Eckhardt'],Result for ['Caroline D. Eckhardt']
['HELEN WILCOX'],Result for ['HELEN WILCOX']
['Jean Khalfa'],Result for ['Jean Khalfa']
['Antoine E. Hatzenberger'],Result for ['Antoine E. Hatzenberger']
['EMILY KOPLEY'],Result for ['EMILY KOPLEY']
['Regis Messac'],Result for ['Regis Messac']
['Shannon Gayk'],Result for ['Shannon Gayk']
['Simon Olding'],Result for ['Simon Olding']
['William C. Mc Donald'],Result for ['William C. Mc Donald']
['Raymond F. Hilliard'],Result for ['Raymond F. Hilliard']
 catherine z elgin,Result for  catherine z elgin
['Charles A. Langworthy'],Result for ['Charles A. Langworthy']
['Hélène Bilis'],Result for ['Hélène Bilis']
['Richard H. Walters'],Result for ['Richard H. Walters']
['Sidney Homan'],Result for ['Sidney Homan']
['ADAM MCKIBLE'],Result for ['ADAM MCKIBLE']
['Alice Crary'],Result for ['Alice Crary']
['Gordon Roper'],Result for ['Gordon Roper']
['G. N. Leech'],Result for ['G. N. Leech']
['Andy Stafford'],Result for ['Andy Stafford']
['Gail K. Hart'],Result for ['Gail K. Hart']
['T. Earle Hamilton'],Result for ['T. Earle Hamilton']
['John Sandford'],Result for ['John Sandford']
['Mari Riess Jones'],Result for ['Mari Riess Jones']
['Anthony Cummins'],Result for ['Anthony Cummins']
['Coleman Oscar Parsons'],Result for ['Coleman Oscar Parsons']
['Betty T. Stocks'],Result for ['Betty T. Stocks']
['Daniel Bivona'],Result for ['Daniel Bivona']
['Elizabeth Carrick'],Result for ['Elizabeth Carrick']
['MICHAEL ACKLAND'],Result for ['MICHAEL ACKLAND']
['SIMON GOLDHILL'],Result for ['SIMON GOLDHILL']
['Birgit Neumann'],Result for ['Birgit Neumann']
['William Harmon'],Result for ['William Harmon']
['MICHÈLE MENDELSSOHN'],Result for ['MICHÈLE MENDELSSOHN']
['Benjamin S. Lawson'],Result for ['Benjamin S. Lawson']
['Heather Maring'],Result for ['Heather Maring']
['Robin Veder'],Result for ['Robin Veder']
['A. J. Robertson'],Result for ['A. J. Robertson']
['David G. Nicholls'],Result for ['David G. Nicholls']
['T. Loveday'],Result for ['T. Loveday']
 daphne patai,Result for  daphne patai
['TAYLOR A. EGGAN'],Result for ['TAYLOR A. EGGAN']
['W. G. Chapman'],Result for ['W. G. Chapman']
['M. Sokolyansky'],Result for ['M. Sokolyansky']
['R. T. Farrell'],Result for ['R. T. Farrell']
['George A. Knox'],Result for ['George A. Knox']
['Jeffrey N. Nelson'],Result for ['Jeffrey N. Nelson']
['William Blazek'],Result for ['William Blazek']
['Jonathan Gil Harris'],Result for ['Jonathan Gil Harris']
['Neville Morley'],Result for ['Neville Morley']
['George C. Keidel'],Result for ['George C. Keidel']
['Franklin Gary'],Result for ['Franklin Gary']
['Ryan Giles'],Result for ['Ryan Giles']
['James Ramsey Wallen'],Result for ['James Ramsey Wallen']
['Amy Robinson'],Result for ['Amy Robinson']
['W. S. Ramson'],Result for ['W. S. Ramson']
['Fred A. Dudley'],Result for ['Fred A. Dudley']
['Richard Eversole'],Result for ['Richard Eversole']
['Cherrell Guilfoyle'],Result for ['Cherrell Guilfoyle']
['Patrick Henry'],Result for ['Patrick Henry']
['Ellen Cronan Rose'],Result for ['Ellen Cronan Rose']
['JOHN ROE'],Result for ['JOHN ROE']
['Janet Gezari'],Result for ['Janet Gezari']
['Anne Stevenson'],Result for ['Anne Stevenson']
['AMANDA JO GOLDSTEIN'],Result for ['AMANDA JO GOLDSTEIN']
['Valerie M. Lagorio'],Result for ['Valerie M. Lagorio']
['Kun Jong Lee'],Result for ['Kun Jong Lee']
 david fieni,Result for  david fieni
['Stephen Nachmanovitch'],Result for ['Stephen Nachmanovitch']
['C. H. Moore'],Result for ['C. H. Moore']
['F. W. Cady'],Result for ['F. W. Cady']
['N. H. Reeve'],Result for ['N. H. Reeve']
['John C. Sherwood'],Result for ['John C. Sherwood']
['William Henry Hulme'],Result for ['William Henry Hulme']
['James R. Stevens'],Result for ['James R. Stevens']
['Guillaume Peureux'],Result for ['Guillaume Peureux']
['Karen\xa0L. Levenback'],Result for ['Karen\xa0L. Levenback']
['James McConica'],Result for ['James McConica']
 z esra mirze,Result for  z esra mirze
['John D. Reeves'],Result for ['John D. Reeves']
['Carol T. Holly'],Result for ['Carol T. Holly']
 richard stern,Result for  richard stern
['Nicole Tonkovich'],Result for ['Nicole Tonkovich']
 a campbell,Result for  a campbell
['Michael Awkward'],Result for ['Michael Awkward']
 margherita piva,Result for  margherita piva
['Manfred Sandmann'],Result for ['Manfred Sandmann']
['C. A. Ladd'],Result for ['C. A. Ladd']
['Jonathan Hsy'],Result for ['Jonathan Hsy']
['John J. Mood'],Result for ['John J. Mood']
['Gillian Jein'],Result for ['Gillian Jein']
['Karen A. Winstead'],Result for ['Karen A. Winstead']
 eisner amper,Result for  eisner amper
['J. P. D. Dunbabin'],Result for ['J. P. D. Dunbabin']
['PAULINA KEWES'],Result for ['PAULINA KEWES']
['ELIZABETH DELOUGHREY'],Result for ['ELIZABETH DELOUGHREY']
['David Clark Cabeen'],Result for ['David Clark Cabeen']
['PETER ROBINSON'],Result for ['PETER ROBINSON']
['H. B. Hinckley'],Result for ['H. B. Hinckley']
['Clare Connors'],Result for ['Clare Connors']
 mark musa,Result for  mark musa
['Andrew Shifflett'],Result for ['Andrew Shifflett']
['John Elder'],Result for ['John Elder']
['Allen Simpson'],Result for ['Allen Simpson']
['Hope Traver'],Result for ['Hope Traver']
['Hyder Rollins'],Result for ['Hyder Rollins']
['Kenneth B. Newell'],Result for ['Kenneth B. Newell']
['Hank Lazer'],Result for ['Hank Lazer']
['Annalisa Cipollone'],Result for ['Annalisa Cipollone']
['Pauline K. Angell'],Result for ['Pauline K. Angell']
['Louise Fradenberg'],Result for ['Louise Fradenberg']
 t s omond,Result for  t s omond
['IMANI PERRY'],Result for ['IMANI PERRY']
['Daniel\xa0M. Gross'],Result for ['Daniel\xa0M. Gross']
['John D. Schaeffer'],Result for ['John D. Schaeffer']
['F. Komla Aggor'],Result for ['F. Komla Aggor']
['ANDREW LOMAN'],Result for ['ANDREW LOMAN']
['David Laurence'],Result for ['David Laurence']
['Gerard Carruthers'],Result for ['Gerard Carruthers']
['Gerard Passannante'],Result for ['Gerard Passannante']
['Theoharis C. Theoharis'],Result for ['Theoharis C. Theoharis']
['Luis Rene Gámez'],Result for ['Luis Rene Gámez']
['Birte Christ'],Result for ['Birte Christ']
['Jens Hanssen'],Result for ['Jens Hanssen']
['Charles Stanley Ross'],Result for ['Charles Stanley Ross']
['BEN CLARKE'],Result for ['BEN CLARKE']
['JOHN WOOLFORD'],Result for ['JOHN WOOLFORD']
['Benjamin Bennett'],Result for ['Benjamin Bennett']
['TERESA MICHALS'],Result for ['TERESA MICHALS']
['OLIVIA C. HARRISON'],Result for ['OLIVIA C. HARRISON']
['Michael R. Finn'],Result for ['Michael R. Finn']
 mark storey,Result for  mark storey
['C. W. Everett'],Result for ['C. W. Everett']
['Ailbhe Smyth'],Result for ['Ailbhe Smyth']
['Mona Wilson'],Result for ['Mona Wilson']
['John Bolin'],Result for ['John Bolin']
['Aaron M. Kahn'],Result for ['Aaron M. Kahn']
['Paul F. Grendler'],Result for ['Paul F. Grendler']
['Ann Squires'],Result for ['Ann Squires']
['Roger Kuin'],Result for ['Roger Kuin']
['Elizabeth Bearden'],Result for ['Elizabeth Bearden']
 maureen quilligan,Result for  maureen quilligan
['Phillip E. Wilson'],Result for ['Phillip E. Wilson']
['Charles Warren'],Result for ['Charles Warren']
['Barbara Brumbaugh'],Result for ['Barbara Brumbaugh']
['Ilse Dusoir Lind'],Result for ['Ilse Dusoir Lind']
['E. H. W. Meyerstein'],Result for ['E. H. W. Meyerstein']
['Judith Oloskey Mills'],Result for ['Judith Oloskey Mills']
['F. T. Wainwright'],Result for ['F. T. Wainwright']
['Kathleen Parthé'],Result for ['Kathleen Parthé']
['Charles W. Collier'],Result for ['Charles W. Collier']
['GERALD MORGAN'],Result for ['GERALD MORGAN']
['Paola Nasti'],Result for ['Paola Nasti']
['Bert Peeters'],Result for ['Bert Peeters']
['C. V. Bock'],Result for ['C. V. Bock']
['Leonard Dean'],Result for ['Leonard Dean']
['VICTORIA STEWART'],Result for ['VICTORIA STEWART']
['Robert Brainard Pearsall'],Result for ['Robert Brainard Pearsall']
['Stephen Brockmann'],Result for ['Stephen Brockmann']
['Kelsey Rubin-Detlev'],Result for ['Kelsey Rubin-Detlev']
['Ian Munro'],Result for ['Ian Munro']
['Kristian Smidt'],Result for ['Kristian Smidt']
['DAVID ADKINS'],Result for ['DAVID ADKINS']
['C. O. Gardner'],Result for ['C. O. Gardner']
['Richard H. McAdams'],Result for ['Richard H. McAdams']
['Felicia McCarren'],Result for ['Felicia McCarren']
['W. H. Lyons'],Result for ['W. H. Lyons']
['Pablo Mukherjee'],Result for ['Pablo Mukherjee']
['Dino Buzzetti'],Result for ['Dino Buzzetti']
['Leah Price'],Result for ['Leah Price']
['Ben Parker'],Result for ['Ben Parker']
['George W. Ayer'],Result for ['George W. Ayer']
 hugh reid,Result for  hugh reid
['Gilbert Highet'],Result for ['Gilbert Highet']
['Antoine Hatzenberger'],Result for ['Antoine Hatzenberger']
['JOHN M. GANIM'],Result for ['JOHN M. GANIM']
['Graeme J. Watson'],Result for ['Graeme J. Watson']
['F. E. Salmon'],Result for ['F. E. Salmon']
['Christian Gellinek'],Result for ['Christian Gellinek']
['KAREN SÁNCHEZ-EPPLER'],Result for ['KAREN SÁNCHEZ-EPPLER']
['C. B. Bradford'],Result for ['C. B. Bradford']
['Tricia Lootens'],Result for ['Tricia Lootens']
['Helen Burke'],Result for ['Helen Burke']
['Anthony Gosse'],Result for ['Anthony Gosse']
['Emanuel\xa0J. Mickel'],Result for ['Emanuel\xa0J. Mickel']
['F. M. Padelford'],Result for ['F. M. Padelford']
['Henry J. Webb'],Result for ['Henry J. Webb']
['GEORGE R. BODMER'],Result for ['GEORGE R. BODMER']
['ANJALI PRABHU'],Result for ['ANJALI PRABHU']
['Mark Pettus'],Result for ['Mark Pettus']
['Samuel McCracken'],Result for ['Samuel McCracken']
['Carl Plantinga'],Result for ['Carl Plantinga']
['Helen Koukoutsis'],Result for ['Helen Koukoutsis']
['Sanjay Seth'],Result for ['Sanjay Seth']
['ANNE SCHUURMAN'],Result for ['ANNE SCHUURMAN']
['Spartaco Gamberini'],Result for ['Spartaco Gamberini']
['Svetlana Alpers'],Result for ['Svetlana Alpers']
['Marion Rust'],Result for ['Marion Rust']
